Caloric Content of foods,,,,,,
Food,portion,unit,Cal,Fat (g),Carbo(g),Protein (g)
Sunflower Oil,218,g,1925,218,0,0
Sunflower Seeds,28.35,g,160,14,5,6
Super Sugar Crisp Cereal,28.35,g,105,0,26,2
Sweet (Dark) Chocolate,28.35,g,150,10,16,1
Sweetened Condensed Milk Cnnd,306,g,980,27,166,24
"Sweetpotatoes, Baked, Peeled",114,g,115,0,28,2
"Sweetpotatoes, Boiled W/O Peel",151,g,160,0,37,2
"Sweetpotatoes, Candied",105,g,145,3,29,1
"Sweetpotatoes, Canned, Mashed",255,g,260,1,59,5
"Sweetpotatoes, Cnned, Vac Pack",40,g,35,0,8,1
Swiss Cheese,28.35,g,105,8,1,8
"Syrup, Chocolate Flavored Thin",38,g,85,0,22,1
"Syrup, Chocolate Flvred, Fudge",38,g,125,5,21,2
Table Syrup (Corn And Maple),42,g,122,0,32,0
Taco,81,g,195,11,15,9
Tahini,15,g,90,8,3,3
"Tangerine Juice, Canned,Swtned",249,ml,125,0,30,1
"Tangerines, Canned, Light Syrp",252,g,155,0,41,1
"Tangerines, Raw",84,g,35,0,9,1
Tartar Sauce,14,g,75,8,1,0
"Tea, Brewed",240,g,0,0,0,0
"Tea, Instant,Preprd,Unsweetend",241,g,0,0,1,0
"Tea,Instant,Prepard,Sweetened",262,g,85,0,22,0
Toaster Pastries,54,g,210,6,38,2
Tofu,120,g,85,5,3,9
"Tomato Juice, Canned W/O Salt",244,ml,40,0,10,2
"Tomato Juice, Canned With Salt",244,ml,40,0,10,2
"Tomato Paste, Canned W/O Salt",262,g,220,2,49,10
"Tomato Paste, Canned With Salt",262,g,220,2,49,10
"Tomato Puree, Canned W/O Salt",250,g,105,0,25,4
"Tomato Puree, Canned With Salt",250,g,105,0,25,4
"Tomato Sauce, Canned With Salt",245,g,75,0,18,3
"Tomato Soup W/ Water, Canned",244,ml,85,2,17,2
"Tomato Soup With Milk, Canned",248,ml,160,6,22,6
"Tomato Veg Soup, Dehyd,Prepred",189,g,40,1,8,1
"Tomatoes, Canned, S+L, W/ Salt",240,g,50,1,10,2
"Tomatoes, Canned, S+L,W/O Salt",240,g,50,1,10,2
"Tomatoes, Raw",123,g,25,0,5,1
"Tortillas, Corn",30,g,65,1,13,2
Total Cereal,28.35,g,100,1,22,3
Trix Cereal,28.35,g,110,0,25,2
"Trout, Broiled, W/ Buttr,Lemju",85,g,175,9,0,21
Tuna Salad,205,g,375,19,19,33
"Tuna, Cannd, Drnd,Oil,Chk,Lght",85,g,165,7,0,24
"Tuna, Cannd, Drnd,Watr, White",85,g,135,1,0,30
"Turkey Ham, Cured Turkey Thigh",57,g,75,3,0,11
"Turkey Loaf, Breast Meat W/O C",42,g,45,1,0,10
"Turkey Loaf, Breast Meat, W/ C",42,g,45,1,0,10
"Turkey Patties, Brd,Battd,Frid",64,g,180,12,10,9
"Turkey Roast, Frzn,Lght+Drk,Ck",85,g,130,5,3,18
"Turkey, Roasted, Dark Meat",85,g,160,6,0,24
"Turkey, Roasted, Light + Dark",140,g,240,7,0,41
"Turkey, Roasted, Light Meat",85,g,135,3,0,25
"Turnip Greens, Cked Frm Frozen",164,g,50,1,8,5
"Turnip Greens, Cooked From Raw",144,g,30,0,6,2
"Turnips, Cooked, Diced",156,g,30,0,8,1
Vanilla Wafers,40,g,185,7,29,2
"Veal Cutlet, Med Fat,Brsd,Brld",85,g,185,9,0,23
"Veal Rib, Med Fat, Roasted",85,g,230,14,0,23
"Vegetable Beef Soup, Canned",244,g,80,2,10,6
"Vegetable Juice Cocktail, Cnnd",242,g,45,0,11,2
"Vegetables, Mixed, Canned",163,g,75,0,15,4
"Vegetables, Mixed, Cked Fr Frz",182,g,105,0,24,5
"Vegetarian Soup, Canned",241,g,70,2,12,2
Vienna Bread,25,g,70,1,13,2
Vienna Sausage,16,g,45,4,0,2
Vinegar And Oil Salad Dressing,16,g,70,8,0,0
"Vinegar, Cider",15,g,0,0,1,0
"Waffles, From Home Recipe",75,g,245,13,26,7
"Waffles, From Mix",75,g,205,8,27,7
"Walnuts, Black, Chopped",125,g,760,71,15,30
"Walnuts, English, Pieces",120,g,770,74,22,17
Water,300,ml,0,0,0,0
"Water Chestnuts, Canned",140,ml,70,0,17,1
"Watermelon, Raw",482,g,155,2,35,3
"Watermelon, Raw, Diced",160,g,50,1,11,1
Wheat Bread,454,g,1160,19,213,43
"Wheat Bread, Toasted",23,g,65,1,12,3
"Wheat Flour, All-Purpose,Siftd",115,g,420,1,88,12
"Wheat Flour, All-Purpose,Unsif",125,g,455,1,95,13
"Wheat, Thin Crackers",8,g,35,1,5,1
Wheaties Cereal,28.35,g,100,0,23,3
"Whipped Topping, Pressurized",60,g,155,13,7,2
"Whipping Cream, Unwhiped,Heavy",238,g,820,88,7,5
"Whipping Cream, Unwhiped,Light",239,g,700,74,7,5
White Bread,454,g,1210,18,222,38
"White Bread Crumbs, Soft",45,g,120,2,22,4
White Bread Cubes,30,g,80,1,15,2
"White Bread, Slice 18 Per Loaf",25,g,65,1,12,2
"White Bread, Slice 22 Per Loaf",20,g,55,1,10,2
"White Bread, Toasted 18 Per",22,g,65,1,12,2
"White Bread, Toasted 22 Per",17,g,55,1,10,2
"White Cake W/ Wht Frstng,Comml",1140,g,4170,148,670,43
White Sauce W/ Milk From Mix,264,g,240,13,21,10
"White Sauce, Medium, Home Recp",250,g,395,30,24,10
Whole-Wheat Bread,454,g,1110,20,206,44
"Whole-Wheat Bread, Toasted",25,g,70,1,13,3
"Whole-Wheat Flour,Hrd Wht,Stir",120,g,400,2,85,16
"Whole-Wheat Wafers, Crackers",8,g,35,2,5,1
"Yeast, Bakers, Dry, Active",7,g,20,0,3,3
"Yeast, Brewers, Dry",8,g,25,0,3,3
"Yellow Cake W/ Choc Frst,Frmix",1108,g,3735,125,638,45
"Yellowcake W/ Chocfrstng,Comml",1108,g,3895,175,620,40
"Yogurt, W/ Lofat Milk, Plain",227,g,145,4,16,12
"Yogurt, W/ Lofat Milk,Fruitflv",227,g,230,2,43,10
"Yogurt, W/ Nonfat Milk",227,g,125,0,17,13
"Yogurt, W/ Whole Milk",227,g,140,7,11,8
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Source:USDA Nutrient Database for Standard Reference,Pocket v1.1,,www.nal.usda.gov/fnic/foodcomp,,,
